FID,parada,descricao,situacao,estrutura_de_paragem,tipo,geo_ponto_rede_pto
Paradas de onibus.fid-70332a8e_1869e51a008_4b7f,4030,SM 05 LOTE 4 AV. CONTORNO,ATIVA,ACOSTAMENTO OU BAIA,Tipo C,POINT (172153.8033256937 8242008.400468973)
Paradas de onibus.fid-70332a8e_1869e51a008_4b81,4094,ENTRE QUADRAS 316/318 2 AV. SUL,ATIVA,SEM ESTRUTURA,Tipo C,POINT (171911.17840881622 8242370.975382436)
Paradas de onibus.fid-70332a8e_1869e51a008_4b82,7950,2� AVENIDA SUL - QUADRA 514/515 - MUNDIAL CELULAR,ATIVA,,Tipo C,POINT (171661.74248303054 8242231.796048991)
Paradas de onibus.fid-70332a8e_1869e51a008_4b83,4051,ENTRE QUADRAS 116/114 1 AV. SUL,ATIVA,SEM ESTRUTURA,Canalete 90,POINT (171553.50701368693 8242871.359414223)
Paradas de onibus.fid-70332a8e_1869e51a008_4b85,4089,ENTRE QUADRAS 312/314 1 AV. SUL,ATIVA,ACOSTAMENTO OU BAIA,Tipo C,POINT (171257.94782940444 8242718.225146533)
Paradas de onibus.fid-70332a8e_1869e51a008_4b86,4090,ENTRE QUADRAS 314/316 1 AV. SUL,ATIVA,SEM ESTRUTURA,Padrão,POINT (171481.7357474157 8242791.470414481)
Paradas de onibus.fid-70332a8e_1869e51a008_4b88,4091,ENTRE QUADRAS 316/318 1 AV. SUL,ATIVA,ACOSTAMENTO OU BAIA,Tipo C,POINT (171788.59158476302 8242894.122143785)
Paradas de onibus.fid-70332a8e_1869e51a008_4b8a,4095,ENTRE QUADRAS 314/316 2 AV. SUL,ATIVA,SEM ESTRUTURA,Padrão,POINT (171609.35942859453 8242269.826691893)
Paradas de onibus.fid-70332a8e_1869e51a008_4b8b,4096,ENTRE QUADRAS 312/314 2 AV. SUL,ATIVA,SEM ESTRUTURA,Tipo C,POINT (171352.0364987228 8242186.548982728)
Paradas de onibus.fid-70332a8e_1869e51a008_4b8d,4097,ENTRE QUADRAS 312/310 2 AV. SUL,ATIVA,SEM ESTRUTURA,Tipo C,POINT (171141.85888068454 8242116.068269635)
Paradas de onibus.fid-70332a8e_1869e51a008_4b8e,7717,2� AVENIDA SUL - QUADRA 312 - CONJUNTO 08,ATIVA,,Tipo C,POINT (171350.08681805898 8242187.4598707715)
Paradas de onibus.fid-70332a8e_1869e51a008_4b90,4140,ENTRE QUADRAS 512/514 2 AV. SUL,ATIVA,SEM ESTRUTURA,Padrão,POINT (171662.8692117752 8242232.823812272)
Paradas de onibus.fid-70332a8e_1869e51a008_4b92,4050,ENTRE QUADRAS 118/116 1 AV. SUL,ATIVA,SEM ESTRUTURA,Tipo C,POINT (171757.25423833454 8242939.534235976)
Paradas de onibus.fid-70332a8e_1869e51a008_4b94,4052,ENTRE QUADRAS 114/112 1 AV. SUL,ATIVA,SEM ESTRUTURA,Tipo C,POINT (171238.3594544995 8242768.1933957)
Paradas de onibus.fid-70332a8e_1869e51a008_4b95,4138,ENTRE QUADRAS 510/512 2 AV. SUL,ATIVA,SEM ESTRUTURA,Canalete 90,POINT (171137.72232894768 8242060.229778124)
Paradas de onibus.fid-70332a8e_1869e51a008_4b97,4139,ENTRE QUADRAS 512 2 AV. SUL,ATIVA,SEM ESTRUTURA,Padrão,POINT (171399.65864325274 8242146.266409276)
Paradas de onibus.fid-70332a8e_1869e51a008_4b99,2241,Passarela da UPA Nucleo Bandeirante,ATIVA,ACOSTAMENTO OU BAIA,Tipo C,POINT (180373.82910587688 8242554.877829343)
Paradas de onibus.fid-70332a8e_1869e51a008_4b9a,6064,AO LADO DO RESIDENCIAL PALMARES (ARNIQUEIRAS) EPNB,ATIVA,ACOSTAMENTO OU BAIA,Tipo C,POINT (179608.3399820652 8242467.507273224)
Paradas de onibus.fid-70332a8e_1869e51a008_4b9c,6063,FRETE A BSB RENTAL EPNB,ATIVA,ACOSTAMENTO OU BAIA,Tipo C,POINT (180021.86693387126 8242453.760576734)
Paradas de onibus.fid-70332a8e_1869e51a008_4b9e,6065,FRENTE A NASA CAMINHÕES E ÔNIBUS EPNB,ATIVA,ACOSTAMENTO OU BAIA,Tipo C,POINT (179260.65618876685 8242432.777154852)
Paradas de onibus.fid-70332a8e_1869e51a008_4ba0,6052,PRODF RIACHO FUNDO EPNB,ATIVA,ACOSTAMENTO OU BAIA,Tipo C,POINT (179557.81364674278 8242406.695430882)
Paradas de onibus.fid-70332a8e_1869e51a008_4ba1,6053,Passarela da UPA Nucleo Bandeirante,ATIVA,ACOSTAMENTO OU BAIA,Tipo C,POINT (180388.74628890897 8242500.68945971)
Paradas de onibus.fid-70332a8e_1869e51a008_4ba3,2177,SMPW QD. 3 CONJ. 2 LOTE 3 PARK WAY,ATIVA,ACOSTAMENTO OU BAIA,Placa,POINT (179714.99509190366 8242791.8200595295)
Paradas de onibus.fid-70332a8e_1869e51a008_4ba5,2154,SMPW QD. 3 CONJ. 3 LOTE 1 PARK WAY,ATIVA,ACOSTAMENTO OU BAIA,Placa,POINT (179744.8497768391 8242794.274532479)
Paradas de onibus.fid-70332a8e_1869e51a008_4ba6,7865,AV RECANTO DAS EMAS - QUADRA 304,ATIVA,,Tipo C,POINT (168669.24031023233 8238356.4586807955)
Paradas de onibus.fid-70332a8e_1869e51a008_4ba7,3880,QUADRA 109 - PANIFICADORA PAES DOURADOS AV. REC. EMAS,ATIVA,ACOSTAMENTO OU BAIA,Padrão,POINT (168762.4151101077 8238461.017425618)
Paradas de onibus.fid-70332a8e_1869e51a008_4ba8,3898,QUADRA 304 - 18 BPM AV. REC. EMAS,ATIVA,SEM ESTRUTURA,Tipo C,POINT (168679.0558643574 8238361.892627798)
Paradas de onibus.fid-70332a8e_1869e51a008_4ba9,6229,Lado Oposto ao IFB Avenida Boca da Mata,ATIVA,SEM ESTRUTURA,Habitual,POINT (172964.68090744084 8243813.777146519)
Paradas de onibus.fid-70332a8e_1869e51a008_4baa,6228,Em frente ao IFB Avenida Boca da Mata,ATIVA,SEM ESTRUTURA,Padrão,POINT (172937.71825913183 8243816.338664355)
Paradas de onibus.fid-70332a8e_1869e51a008_4bab,4046,QUADRA 122 CONJ. 05 - DEPOIS DA PASSAGEM DO METRO AV. LESTE,ATIVA,SEM ESTRUTURA,Tipo C,POINT (172657.00284659216 8243502.098986583)
Paradas de onibus.fid-70332a8e_1869e51a008_4bac,6226,Embarque Samambaia Estac. Est. FURNAS,ATIVA,SEM ESTRUTURA,Habitual,POINT (172354.76691003318 8243573.384182414)
Paradas de onibus.fid-70332a8e_1869e51a008_4bb3,6227,Embarque Recanto das Emas Estac. Est. FURNAS,ATIVA,SEM ESTRUTURA,Padrão,POINT (172285.31792250043 8243564.12007347)
Paradas de onibus.fid-70332a8e_1869e51a008_4bb5,4036,LO QUADRA 122 - ANTES DA PASSAGEM DO METRO AV. LESTE,ATIVA,ACOSTAMENTO OU BAIA,Tipo C,POINT (172585.88464340294 8243685.465371808)
Paradas de onibus.fid-70332a8e_1869e51a008_4bb7,3922,QUADRA 804 CONJUNTO 01 LOTE 04 AVENIDA INTERNA,ATIVA,SEM ESTRUTURA,Placa,POINT (172654.30729877128 8237588.509195206)
Paradas de onibus.fid-70332a8e_1869e51a008_4bb8,3933,QUADRA 604 CONJ 11 CASA 20 AVENIDA INTERNA,ATIVA,SEM ESTRUTURA,Habitual,POINT (172107.20955452468 8237844.484360898)
Paradas de onibus.fid-70332a8e_1869e51a008_4c8e,3935,QUADRA 404 CONJ 17 LOTE 01 AVENIDA INTERNA,ATIVA,SEM ESTRUTURA,Habitual,POINT (172001.66826454346 8238168.501339594)
Paradas de onibus.fid-70332a8e_1869e51a008_4c8f,3931,QUADRA 603 CONJ 13 CASA 17 AVENIDA INTERNA,ATIVA,SEM ESTRUTURA,Habitual,POINT (172656.98875476135 8237602.487399721)
Paradas de onibus.fid-70332a8e_1869e51a008_4c91,3920,QUADRA 804 CONJUNTO 03 LOTE 07 AVENIDA INTERNA,ATIVA,SEM ESTRUTURA,Habitual,POINT (172328.33962217817 8237481.485741834)
Paradas de onibus.fid-70332a8e_1869e51a008_4c92,3921,QUADRA 804 CONJUNTO 02 LOTE 10 AVENIDA INTERNA,ATIVA,SEM ESTRUTURA,Placa,POINT (172497.63655454916 8237536.471473277)
Paradas de onibus.fid-70332a8e_1869e51a008_4c93,3932,QUADRA 604 CONJ 25 LOTE 17 AVENIDA INTERNA,ATIVA,SEM ESTRUTURA,Placa,POINT (172378.54471555952 8237497.993035101)
Paradas de onibus.fid-70332a8e_1869e51a008_4c94,3919,QUADRA 605 CONJUNTO 08 LOTE 04 AVENIDA INTERNA,ATIVA,SEM ESTRUTURA,Habitual,POINT (172217.58464287553 8237479.172083332)
Paradas de onibus.fid-70332a8e_1869e51a008_4c96,3917,QUADRA 605 CONJUNTO 01 LOTE 05 AVENIDA INTERNA,ATIVA,SEM ESTRUTURA,Habitual,POINT (172098.68493707525 8237839.3103851145)
Paradas de onibus.fid-70332a8e_1869e51a008_4c97,3915,QUADRA 405 CONJUNTO 1B LOTE 01 AVENIDA INTERNA,ATIVA,SEM ESTRUTURA,Habitual,POINT (171995.80663692852 8238142.59806032)
Paradas de onibus.fid-70332a8e_1869e51a008_4c99,3918,QUADRA 605 CONJUNTO 04 LOTE 03 AVENIDA INTERNA,ATIVA,SEM ESTRUTURA,Habitual,POINT (172157.66785783245 8237663.836117932)
Paradas de onibus.fid-70332a8e_1869e51a008_4c9a,3916,QUADRA 605 CONJUNTO 1A LOTE 09 AVENIDA INTERNA,ATIVA,SEM ESTRUTURA,Habitual,POINT (172046.78080732364 8237996.712016094)
Paradas de onibus.fid-70332a8e_1869e51a008_4c9c,3934,QUADRA  604 CONJUNTO 2 ANTES DO BALAO AVENIDA INTERNA,ATIVA,SEM ESTRUTURA,Habitual,POINT (172046.55904447194 8238043.035000859)
Paradas de onibus.fid-70332a8e_1869e51a008_4c9d,7996,"Avenida Monjolo, Quadra 306, Lote 03, Área Especial, lado oposto ao Centro Interescolar de Línguas",ATIVA,,Tipo C,POINT (168388.7062486849 8237496.885057468)
Paradas de onibus.fid-70332a8e_1869e51a008_4c9e,8015,"Avenida Interna, Quadra 305, Conjunto 08B",ATIVA,,Tipo C,POINT (168326.03651908552 8238108.326540475)
Paradas de onibus.fid-70332a8e_1869e51a008_4ca0,3881,QUADRA 110 - SUPERMERCADO QUIBOM AV. REC. EMAS,ATIVA,ACOSTAMENTO OU BAIA,Padrão,POINT (168478.05084510962 8238283.757754351)
Paradas de onibus.fid-70332a8e_1869e51a008_4ca1,3897,QUADRA 305 - AO LADO DA DELEGACIA DE POLICIA AV. REC. EMAS,ATIVA,SEM ESTRUTURA,Tipo C,POINT (168351.98099156976 8238109.829406772)
Paradas de onibus.fid-70332a8e_1869e51a008_4ca2,4018,EM FRENTE A CIA PTRAN DF 075,ATIVA,ACOSTAMENTO OU BAIA,Tipo C,POINT (173559.25563206954 8242374.589146979)
Paradas de onibus.fid-70332a8e_1869e51a008_4ca3,7982,DF 075 - EPNB - SETOR DE MANS�ES SUDOESTE  AE 01,ATIVA,,Tipo C,POINT (173671.59075835103 8242564.223591904)
Paradas de onibus.fid-70332a8e_1869e51a008_4ca4,7841,TAGUATINGA SUL - CSG 04 - LADO OPOSTO GARAGEM PIRACICABANA,ATIVA,,Tipo C,POINT (174583.22382850986 8243197.567368343)
Paradas de onibus.fid-70332a8e_1869e51a008_4ca5,5167,EM FRENTE AO SESC TAGUATINGA SUL LIGACAO EPCT,ATIVA,SEM ESTRUTURA,Tipo C,POINT (174832.6500830026 8243382.840004012)
Paradas de onibus.fid-70332a8e_1869e51a008_4ca6,5388,EM FRENTE AO LEITE BOM DF-075,ATIVA,ACOSTAMENTO OU BAIA,Tipo C,POINT (174679.25252081643 8242629.339832774)
Paradas de onibus.fid-70332a8e_1869e51a008_4ca7,5389,EM FRENTE A COCA-COLA DF-075,ATIVA,ACOSTAMENTO OU BAIA,Placa,POINT (174250.6081770114 8242686.135054384)
Paradas de onibus.fid-70332a8e_1869e51a008_4ca8,5391,LADO OPOSTO AO LEITE BOM DF-075,ATIVA,ACOSTAMENTO OU BAIA,Tipo C,POINT (174471.30215857035 8242566.020413943)
Paradas de onibus.fid-70332a8e_1869e51a008_4ca9,4019,LADO OPOSTO A COCA-COLA (VENDA DE MUDAS) DF 075,ATIVA,ACOSTAMENTO OU BAIA,Padrão,POINT (174019.84049153645 8242607.803835192)
Paradas de onibus.fid-70332a8e_1869e51a008_4caa,5166,LADO OPOSTO A COCA-COLA LIGACAO EPCT,ATIVA,SEM ESTRUTURA,Placa,POINT (174618.5975509732 8243226.189483436)
Paradas de onibus.fid-70332a8e_1869e51a008_4cab,3876,QUADRA 106 LADO OPOSTO IGREJA BATISTA AV. REC. EMAS,ATIVA,ACOSTAMENTO OU BAIA,Tipo C,POINT (169864.38004101056 8238933.869474934)
Paradas de onibus.fid-70332a8e_1869e51a008_4cac,3902,QUADRA 300 - CONJ. J  - CASA 03 AV. REC. EMAS,ATIVA,ACOSTAMENTO OU BAIA,Tipo C,POINT (170051.56985896098 8238963.771871688)
Paradas de onibus.fid-70332a8e_1869e51a008_4cad,4133,QUADRA 502 - INICIO DA QUADRA 2 AV. SUL,ATIVA,SEM ESTRUTURA,Padrão,POINT (169723.99532488413 8241593.165673942)
Paradas de onibus.fid-70332a8e_1869e51a008_4cae,7949,2� AVENIDA SUL - QUADRA 302/304 - PAR�QUIA SANTA LUZIA,ATIVA,,Tipo C,POINT (170007.80856487795 8241742.581170059)
Paradas de onibus.fid-70332a8e_1869e51a008_4caf,7633,CENTRO URBANO - 1� AVENIDA SUL - QUADRA 302,ATIVA,,Tipo C,POINT (169857.30404472206 8242257.901630924)
Paradas de onibus.fid-70332a8e_1869e51a008_4cb0,4056,ENTRE QUADRAS 106/104 1 AV. SUL,ATIVA,SEM ESTRUTURA,Tipo C,POINT (170140.9190581325 8242406.569106507)
Paradas de onibus.fid-70332a8e_1869e51a008_4cb1,4134,ENTRE QUADRAS 502/504 2 AV. SUL,ATIVA,SEM ESTRUTURA,Canalete 90,POINT (170042.47763271787 8241700.3571717525)
Paradas de onibus.fid-70332a8e_1869e51a008_4cb2,4057,QUADRA 104 - FINAL DA QUADRA 1 AV. SUL,ATIVA,SEM ESTRUTURA,Tipo C,POINT (169842.2410789898 8242305.4416670045)
Paradas de onibus.fid-70332a8e_1869e51a008_4cb3,4058,FRENTE ESTACAO TERMINAL LADO OPOSTO A ADMINISTRACAO REGIONAL 1 AV. SUL,ATIVA,SEM ESTRUTURA,Tipo C,POINT (169636.2816397602 8242284.41819651)
Paradas de onibus.fid-70332a8e_1869e51a008_4cb4,4101,QUADRA 304 - FINAL DA QUADRA 2 AV. SUL,ATIVA,SEM ESTRUTURA,Tipo C,POINT (170008.43144640647 8241740.706381882)
Paradas de onibus.fid-70332a8e_1869e51a008_4cb5,4085,ENTRE QUADRAS 304/306 1 AV. SUL,ATIVA,SEM ESTRUTURA,Tipo C,POINT (170169.4554514562 8242358.642560766)
Paradas de onibus.fid-70332a8e_1869e51a008_4cb6,4084,QUADRA 302 - INICIO DA QUADRA 1 AV. SUL,ATIVA,SEM ESTRUTURA,Metálico,POINT (169857.87434913928 8242255.867789568)
Paradas de onibus.fid-70332a8e_1869e51a008_4cb7,4102,QUADRA 302 - ANTES DO FORUM 2 AV. SUL,ATIVA,SEM ESTRUTURA,Tipo C,POINT (169750.83137587458 8241656.736086876)
Paradas de onibus.fid-70332a8e_1869e51a008_4cb8,4083,EM FRENTE A ADMINISTRACAO REGIONAL LADO DA MADEIREIRA CASTELO FORTE 1 AV. SUL,ATIVA,SEM ESTRUTURA,Tipo C,POINT (169638.00858346588 8242232.169984236)
Paradas de onibus.fid-70332a8e_1869e51a008_4cb9,4129,QUADRA 505/503 2 AV. SUL,ATIVA,SEM ESTRUTURA,Padrão,POINT (168438.33993414487 8240880.963485785)
Paradas de onibus.fid-70332a8e_1869e51a008_4cba,7959,2� AVENIDA SUL - QUADRA 305/307 - SUPERMERCADO PRIMOR,ATIVA,,Tipo C,POINT (168459.2289607948 8240954.6983749345)
Paradas de onibus.fid-70332a8e_1869e51a008_4cbb,4106,QUADRA 305/307 2 AV. SUL,ATIVA,SEM ESTRUTURA,Padrão,POINT (168459.9711626076 8240954.488977908)
Paradas de onibus.fid-70332a8e_1869e51a008_4cbc,3855,KM 6.5 -LADO OPOSTO CALDO DE CANA DF - 280,ATIVA,ACOSTAMENTO OU BAIA,Placa,POINT (157722.66360470786 8237001.564389017)
Paradas de onibus.fid-70332a8e_1869e51a008_4cbd,3837,FRENTE AO CALDO DE CANA KM 6.5 DF - 280,ATIVA,ACOSTAMENTO OU BAIA,Placa,POINT (157677.09109989274 8236999.836887566)
Paradas de onibus.fid-70332a8e_1869e51a008_4cbe,3838,FRENTE CHACARA SAMAMBAIA  PARAISO DO CASTELO KM 4 DF - 280,ATIVA,ACOSTAMENTO OU BAIA,Placa,POINT (157192.22960835468 8236755.608412557)
Paradas de onibus.fid-70332a8e_1869e51a008_4cbf,3853,SETOR DE CHACARAS - EM FRENTE CALDO DE CANA DF - 280,ATIVA,ACOSTAMENTO OU BAIA,Placa,POINT (157028.61166579067 8236607.715755374)
Paradas de onibus.fid-70332a8e_1869e51a008_4cc0,3854,KM 4.5 - CHACARA N. S. APARECIDA DF - 280,ATIVA,ACOSTAMENTO OU BAIA,Padrão,POINT (157318.88165315788 8236818.082590852)
Paradas de onibus.fid-70332a8e_1869e51a008_4cc1,5357,ADE  CONJ 08 LOTE 01 ARNIQUEIRAS,ATIVA,SEM ESTRUTURA,Habitual,POINT (176957.72289747177 8242504.633602646)
Paradas de onibus.fid-70332a8e_1869e51a008_4cc2,3966,CLN 07 BL. G LOTE 04 INTERNA,ATIVA,SEM ESTRUTURA,Placa,POINT (176536.7507834172 8242148.331710221)
Paradas de onibus.fid-70332a8e_1869e51a008_4cc3,6888,ADE 20,ATIVA,SEM ESTRUTURA,Padrão,POINT (177022.61033112608 8242596.468024583)
Paradas de onibus.fid-70332a8e_1869e51a008_4cc4,4023,QN 07 AE 07 DF 075,ATIVA,ACOSTAMENTO OU BAIA,Tipo C,POINT (176280.65846376735 8242328.2288937755)
Paradas de onibus.fid-70332a8e_1869e51a008_4cc5,4024,QN 05 CONJ. 4 LOTE 54 DF 075,ATIVA,ACOSTAMENTO OU BAIA,Tipo C,POINT (176656.3083149862 8242277.711048648)
Paradas de onibus.fid-70332a8e_1869e51a008_4cc6,5358,ADE  CONJ 11 LOTE 06 ARNIQUEIRAS,ATIVA,SEM ESTRUTURA,Placa,POINT (176911.27281550906 8242442.203704502)
Paradas de onibus.fid-70332a8e_1869e51a008_4cc7,1242,EM FRENTE AO BARRIL 66. PASSARELA DO RIACHO FUNDO DF 075,ATIVA,ACOSTAMENTO OU BAIA,Tipo C,POINT (177010.72857472504 8242285.640347289)
Paradas de onibus.fid-70332a8e_1869e51a008_4cc8,1243,EM FRENTE AS INDUSTRIAS ROSSI DF 075,ATIVA,ACOSTAMENTO OU BAIA,Tipo C,POINT (176562.43646585525 8242345.789433351)
Paradas de onibus.fid-70332a8e_1869e51a008_4cc9,3927,QUADRA 801 CONJ 10 LOTE 01 AVENIDA INTERNA,ATIVA,SEM ESTRUTURA,Habitual,POINT (173433.1915380539 8237546.551715631)
Paradas de onibus.fid-70332a8e_1869e51a008_4cca,7870,DF 001 - QUADRA 800 - CONJUNTO 01 - LOTE 19/20,ATIVA,,Tipo C,POINT (173493.92831589852 8237781.643288952)
Paradas de onibus.fid-70332a8e_1869e51a008_4ccb,7871,DF 001 - QUADRA 800 - CONJUNTO 05 - LOTE 07/08,ATIVA,,Tipo C,POINT (173597.0636391866 8237464.682532362)
Paradas de onibus.fid-70332a8e_1869e51a008_4ccc,7872,DF 001 - QUADRA 800 - CONJUNTO 05 - LOTE 07/09,ATIVA,,Tipo C,POINT (173597.0636391866 8237464.682532362)
Paradas de onibus.fid-70332a8e_1869e51a008_4ccd,7914,DF 001 - CONDOMINIO PARQUE DO RIACHO 18/19,ATIVA,,Tipo C,POINT (173637.02182754333 8237480.884940287)
Paradas de onibus.fid-70332a8e_1869e51a008_4cce,7915,DF 001 - CONDOMINIO PARQUE DO RIACHO 16/17 - QUADRA DE ESPORTES,ATIVA,,Tipo C,POINT (173531.08661924273 8237806.112725313)
Paradas de onibus.fid-70332a8e_1869e51a008_4ccf,3926,ANTES DA ENTRADA PARA Q. 802 AVENIDA INTERNA,ATIVA,SEM ESTRUTURA,Tipo C,POINT (173448.70789292868 8237537.889644886)
Paradas de onibus.fid-70332a8e_1869e51a008_4cd0,3797,EM FRENTE A QUADRA 800 - SENTIDO GAMA DF - 001,ATIVA,ACOSTAMENTO OU BAIA,Tipo C,POINT (173494.6947244265 8237780.309156612)
Paradas de onibus.fid-70332a8e_1869e51a008_4cd1,3798,EM FRENTE A QUADRA 800 - ANTES ASA ALIMENTOS DF - 001,ATIVA,ACOSTAMENTO OU BAIA,Tipo C,POINT (173598.3359542638 8237464.616425383)
Paradas de onibus.fid-70332a8e_1869e51a008_4cd2,3816,QC 04  RIACHO FUNDO LADO OPOSTO QUADRA 800 DO RECANTO DAS EMAS DF - 001,ATIVA,ACOSTAMENTO OU BAIA,Tipo C,POINT (173638.80643089412 8237480.057130353)
Paradas de onibus.fid-70332a8e_1869e51a008_4cd3,3817,ESCOLA CLASSE 01 LADO OPOSTO QUADRA 800 DO RECANTO DAS EMAS DF - 001,ATIVA,ACOSTAMENTO OU BAIA,Tipo C,POINT (173531.17408450617 8237808.864897128)
Paradas de onibus.fid-70332a8e_1869e51a008_4cd4,7967,1� AVENIDA SUL - QUADRA 303 - AGENCIA DO TRABALHADOR,ATIVA,,Tipo C,POINT (168737.0888006378 8241884.1189426035)
Paradas de onibus.fid-70332a8e_1869e51a008_4cd5,4081,ENTRE QUADRAS 303/305 1 AV. SUL,ATIVA,SEM ESTRUTURA,Tipo C,POINT (168469.4342046794 8241710.259554645)
Paradas de onibus.fid-70332a8e_1869e51a008_4cd6,6859,Residencial Viva,ATIVA,SEM ESTRUTURA,Placa,POINT (169029.22179985757 8242117.550859027)
Paradas de onibus.fid-70332a8e_1869e51a008_4cd7,6858,Ginásio Poliesportivo Samambaia Sul,ATIVA,SEM ESTRUTURA,Placa,POINT (169046.70152385905 8242062.295537735)
Paradas de onibus.fid-70332a8e_1869e51a008_4cd8,4082,QUADRA 303 - FINAL DA QUADRA 1 AV. SUL,ATIVA,SEM ESTRUTURA,Canalete 90,POINT (168740.24621014786 8241885.756045504)
Paradas de onibus.fid-70332a8e_1869e51a008_4cd9,6860,1ª Avenida Norte - Qs 405,ATIVA,SEM ESTRUTURA,Placa,POINT (168089.40173719666 8242272.443907933)
Paradas de onibus.fid-70332a8e_1869e51a008_4cda,4061,ENTRE QUADRAS 105/107 1 AV. SUL,ATIVA,SEM ESTRUTURA,Padrão,POINT (168265.70823393093 8241621.117381339)
Paradas de onibus.fid-70332a8e_1869e51a008_4cdb,4177,QUADRA 207 CONJ. 01 LOTE 30 1 AV. NORTE,ATIVA,SEM ESTRUTURA,Tipo C,POINT (167907.19851670798 8242118.449560589)
Paradas de onibus.fid-70332a8e_1869e51a008_4cdc,4178,QUADRA 205 CONJ. 01 CASA 25 1 AV. NORTE,ATIVA,SEM ESTRUTURA,Tipo C,POINT (168118.39993908908 8242225.647604311)
Paradas de onibus.fid-70332a8e_1869e51a008_4cdd,4179,QUADRA 203 1 AV. NORTE,ATIVA,SEM ESTRUTURA,Canalete 90,POINT (168287.26577521884 8242402.026193596)
Paradas de onibus.fid-70332a8e_1869e51a008_4cde,4153,ENTRE QUADRAS 405/407 1 AV. NORTE,ATIVA,SEM ESTRUTURA,Habitual,POINT (167867.4120378045 8242162.439178809)
Paradas de onibus.fid-70332a8e_1869e51a008_4cdf,4059,QUADRA 103 -  CONJ. 02 LOTE 02 1 AV. SUL,ATIVA,SEM ESTRUTURA,Padrão,POINT (168766.0881521628 8241952.213454703)
Paradas de onibus.fid-70332a8e_1869e51a008_4ce0,4060,ENTRE QUADRAS 103/015 1 AV. SUL,ATIVA,SEM ESTRUTURA,Padrão,POINT (168448.04949582682 8241765.782859517)
Paradas de onibus.fid-70332a8e_1869e51a008_4ce1,4241,AO LADO DO ESTADIO DE FUTEBOL VIA LIGACAO,ATIVA,SEM ESTRUTURA,Padrão,POINT (169323.49504487397 8241934.674142)
Paradas de onibus.fid-70332a8e_1869e51a008_4ce2,4123,QUADRA 515 CONJ E CASA 01 2 AV. SUL,ATIVA,SEM ESTRUTURA,Habitual,POINT (167110.38118300424 8240471.076851362)
Paradas de onibus.fid-70332a8e_1869e51a008_4cf2,4065,ENTRE QUADRAS 113/115 1 AV. SUL,ATIVA,SEM ESTRUTURA,Padrão,POINT (167024.71538171463 8240911.264337678)
Paradas de onibus.fid-70332a8e_1869e51a008_4cf3,4076,ENTRE QUADRAS 315/313 1 AV. SUL,ATIVA,SEM ESTRUTURA,Habitual,POINT (167024.4150224111 8240845.66731508)
Paradas de onibus.fid-70332a8e_1869e51a008_4cf4,4111,QUADRA 315 CONJ 09 CASA 19 2 AV. SUL,ATIVA,SEM ESTRUTURA,Habitual,POINT (167100.30381683534 8240493.896518558)
Paradas de onibus.fid-70332a8e_1869e51a008_4cf5,1129,LADO OPOSTO CHACARA SAO JOAO DF 240,ATIVA,ACOSTAMENTO OU BAIA,Tipo C,POINT (161587.53869350068 8258263.965889116)
Paradas de onibus.fid-70332a8e_1869e51a008_4cf6,1130,LADO OPOSTO CHACARA 196 DF 240,ATIVA,ACOSTAMENTO OU BAIA,Tipo C,POINT (162048.31469737363 8258266.567786489)
Paradas de onibus.fid-70332a8e_1869e51a008_4cf7,1058,CHACARA 196 DF 240,ATIVA,ACOSTAMENTO OU BAIA,Habitual,POINT (162073.6794815975 8258288.335543831)
Paradas de onibus.fid-70332a8e_1869e51a008_4cf8,1059,CHACARA SAO JOAO DF 240,ATIVA,ACOSTAMENTO OU BAIA,Habitual,POINT (161555.38507459222 8258285.193051445)
Paradas de onibus.fid-70332a8e_1869e51a008_4cf9,4600,ENTRADA RUA 02 DF - 001,ATIVA,ACOSTAMENTO OU BAIA,Padrão,POINT (185967.5636972166 8269318.788824538)
Paradas de onibus.fid-70332a8e_1869e51a008_4cfa,4644,ENTRA RUA 00 - RANCHO 3M DF-001,ATIVA,ACOSTAMENTO OU BAIA,Habitual,POINT (187659.05347415264 8268055.719295791)
Paradas de onibus.fid-70332a8e_1869e51a008_4cfb,4641,LADO OPOSTO ENTRADA RUA 03 DF - 001,ATIVA,ACOSTAMENTO OU BAIA,Habitual,POINT (185622.80887755082 8269551.145322388)
Paradas de onibus.fid-70332a8e_1869e51a008_4cfc,4602,ENTRADA RUA 04 DF - 001,ATIVA,ACOSTAMENTO OU BAIA,Padrão,POINT (185348.7837016295 8269772.447930758)
Paradas de onibus.fid-70332a8e_1869e51a008_4cfd,4640,LADO OPOSTO ENTRADA RUA 04 DF - 001,ATIVA,ACOSTAMENTO OU BAIA,Placa,POINT (185339.04387820105 8269749.719806354)
Paradas de onibus.fid-70332a8e_1869e51a008_4cfe,4643,LADO OPOSTO ENTRADA RUA 01 DF - 001,ATIVA,ACOSTAMENTO OU BAIA,Placa,POINT (186387.15982198837 8268981.644231442)
Paradas de onibus.fid-70332a8e_1869e51a008_4f7f,4599,ENTRADA RUA 01 DF - 001,ATIVA,ACOSTAMENTO OU BAIA,Padrão,POINT (186380.9059333007 8269013.344838077)
Paradas de onibus.fid-70332a8e_1869e51a008_4f80,4598,ENTRA RUA 00 - RANCHO 3M DF-001,ATIVA,ACOSTAMENTO OU BAIA,Padrão,POINT (187653.43497234362 8268079.513825393)
